id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating,imdb_votes
10,Homer's Night Out,25/03/1990,7G10,1,10,10,30.3,50816,7.4,1511
12,Krusty Gets Busted,29/04/1990,7G12,1,12,12,30.4,62561,8.3,1716
14,"Bart Gets an ""F""",11/10/1990,7F03,2,1,14,33.6,59575,8.2,1638
17,Two Cars in Every Garage and Three Eyes on Every Fish,01/11/1990,7F01,2,4,17,26.1,64959,8.1,1457
19,Dead Putting Society,15/11/1990,7F08,2,6,19,25.4,50691,8,1366
21,Bart the Daredevil,06/12/1990,7F06,2,8,21,26.2,57605,8.4,1522
23,Bart Gets Hit by a Car,10/01/1991,7F10,2,10,23,24.8,56486,7.8,1340
26,Homer vs. Lisa and the 8th Commandment,07/02/1991,7F13,2,13,26,26.2,58277,8,1329
28,"Oh Brother, Where Art Thou?",21/02/1991,7F16,2,15,28,26.8,47426,8.2,1413
30,Old Money,28/03/1991,7F17,2,17,30,21.2,44331,7.6,1243
32,Lisa's Substitute,25/04/1991,7F19,2,19,32,17.7,52770,8.5,1684
35,Blood Feud,11/07/1991,7F22,2,22,35,17.3,52829,8,1223
37,Mr. Lisa Goes to Washington,26/09/1991,8F01,3,2,37,20.2,52098,7.7,1274
39,Bart the Murderer,10/10/1991,8F03,3,4,39,20.8,64342,8.7,1446
41,"Like Father, Like Clown",24/10/1991,8F05,3,6,41,20.2,45586,7.7,1262
44,Saturdays of Thunder,14/11/1991,8F07,3,9,44,24.7,55808,7.9,1194
46,Burns Verkaufen der Kraftwerk,05/12/1991,8F09,3,11,46,21.1,55987,8.2,1291
48,Radio Bart,09/01/1992,8F11,3,13,48,24.2,58919,8.5,1365
51,Bart the Lover,13/02/1992,8F16,3,16,51,20.5,53123,8.3,1272
53,Separate Vocations,27/02/1992,8F15,3,18,53,23.7,61508,8.2,1201
55,Colonel Homer,26/03/1992,8F19,3,20,55,25.5,46901,7.9,1233
58,Bart's Friend Falls in Love,07/05/1992,8F22,3,23,58,19.5,48058,7.8,1160
60,Kamp Krusty,24/09/1992,8F24,4,1,60,21.8,67081,8.4,1414
65,Itchy & Scratchy: The Movie,03/11/1992,9F03,4,6,65,20.1,55740,8.2,1293
69,Lisa's First Word,03/12/1992,9F08,4,10,69,28.6,62070,8.5,1350
72,Selma's Choice,21/01/1993,9F11,4,13,72,24.5,56396,8,1153
7,The Call of the Simpsons,18/02/1990,7G09,1,7,7,27.6,57793,7.9,1638
24,"One Fish, Two Fish, Blowfish, Blue Fish",24/01/1991,7F12,2,11,24,24.2,50206,8.8,1687
80,Marge in Chains,06/05/1993,9F20,4,21,80,17.3,68692,7.7,1080
82,Homer's Barbershop Quartet,30/09/1993,9F21,5,1,82,19.9,58390,8.4,1416
84,Homer Goes to College,14/10/1993,1F02,5,3,84,18.1,64802,8.6,1476
87,Marge on the Lam,04/11/1993,1F03,5,6,87,21.7,53490,8,1132
89,Boy-Scoutz 'n the Hood,18/11/1993,1F06,5,8,89,20.1,83238,8.7,1270
92,Homer the Vigilante,06/01/1994,1F09,5,11,92,20.1,74673,8.2,1202
93,Bart Gets Famous,03/02/1994,1F11,5,12,93,20,66267,8.1,1123
95,Lisa vs. Malibu Stacy,17/02/1994,1F12,5,14,95,20.5,61715,8.2,1187
